CASE,rationale,Completeness,Contrastiveness,Plausibility,Satisfaction,Understandability,rationale_id,model,rationale_length,gender,age,country,education,employement
214,RE08,3,2,4,5,5,322,MT:PosRationales,155,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE09,5,2,4,4,5,131,CF:PosRationales,167,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE10,4,2,4,4,4,118,MT+CF:PosRationales,167,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE11,4,2,5,4,5,219,MT+CF:RevRationales,314,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE12,5,2,5,5,5,277,MT+CF:RevRationales,263,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE13,5,5,5,5,5,372,MT+CF:RevRationales,446,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE14,4,3,5,5,5,235,MT:PosRationales,203,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE15,5,2,5,4,5,281,MT:PosRationales,255,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE16,4,2,4,4,5,21,CF:PosRationales,182,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE17,2,2,4,4,5,202,CF:PosRationales,338,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE18,2,2,4,4,4,50,MT+CF:PosRationales,310,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
214,RE19,5,4,5,5,5,104,MT+CF:PosRationales,155,female,25 to 29 years old,United Kingdom,A-levels/International Baccalaureate/Higher education entrance qualification,Employee
215,RE08,5,2,5,5,5,23,MT:PosRationales,214,male,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
215,RE09,4,2,5,5,5,192,CF:PosRationales,169,male,30 to 34 years old,United Kingdom,"High school diploma/Intermediate/General Certificate of Secondary Education, secondary school-leaving certificate or equivalent",Employee
